Info 0    [02:00:51.513] Starting TS Server
Info 117  [02:01:07.277] Returning an empty list because completion was requested in an invalid position.
Info 118  [02:01:07.279] getCompletionData: Get current token: 0.012222051620483398
Info 119  [02:01:07.279] getCompletionData: Is inside comment: 0.008392095565795898
Info 120  [02:01:07.279] getCompletionData: Get previous token 1: 0.05289578437805176
Info 121  [02:01:07.279] getCompletionsAtPosition: isCompletionListBlocker: 0.012333154678344727
Info 122  [02:01:07.279] Returning an empty list because completion was requested in an invalid position.
Info 123  [02:01:07.482] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [02:01:07.487] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 5.2194929122924805ms
Info 125  [02:01:07.487] Different program with same set of files:: structureIsReused:: 2
Info 126  [02:01:07.488] getCompletionData: Get current token: 0.012576103210449219
Info 127  [02:01:07.488] getCompletionData: Is inside comment: 0.008437156677246094
Info 128  [02:01:07.488] getCompletionData: Get previous token 1: 0.05674314498901367
Info 129  [02:01:07.488] getCompletionsAtPosition: isCompletionListBlocker: 0.015906095504760742
Info 130  [02:01:07.488] Returning an empty list because completion was requested in an invalid position.
Info 131  [02:01:07.490] getCompletionData: Get current token: 0.01353001594543457
Info 132  [02:01:07.490] getCompletionData: Is inside comment: 0.008944034576416016
Info 133  [02:01:07.490] getCompletionData: Get previous token 1: 0.0538179874420166
Info 134  [02:01:07.490] getCompletionsAtPosition: isCompletionListBlocker: 0.012153148651123047
Info 135  [02:01:07.490] Returning an empty list because completion was requested in an invalid position.
Info 136  [02:01:07.492] getCompletionData: Get current token: 0.01029205322265625
Info 137  [02:01:07.492] getCompletionData: Is inside comment: 0.006695985794067383
Info 138  [02:01:07.492] getCompletionData: Get previous token 1: 0.04333305358886719
Info 139  [02:01:07.492] getCompletionsAtPosition: isCompletionListBlocker: 0.00882101058959961
Info 140  [02:01:07.492] Returning an empty list because completion was requested in an invalid position.
Info 141  [02:01:07.859] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 142  [02:01:07.866] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 7.108589172363281ms
Info 143  [02:01:07.867] Different program with same set of files:: structureIsReused:: 2
Info 144  [02:01:07.867] getCompletionData: Get current token: 0.014213085174560547
Info 145  [02:01:07.867] getCompletionData: Is inside comment: 0.008840084075927734
Info 146  [02:01:07.867] getCompletionData: Get previous token 1: 0.07179999351501465
Info 147  [02:01:07.867] getCompletionsAtPosition: isCompletionListBlocker: 0.01667189598083496
Info 148  [02:01:07.867] Returning an empty list because completion was requested in an invalid position.
Info 149  [02:01:07.869] getCompletionData: Get current token: 0.010090112686157227
Info 150  [02:01:07.869] getCompletionData: Is inside comment: 0.006880044937133789
Info 151  [02:01:07.869] getCompletionData: Get previous token 1: 0.044135093688964844
Info 152  [02:01:07.869] getCompletionsAtPosition: isCompletionListBlocker: 0.010746955871582031
Info 153  [02:01:07.869] Returning an empty list because completion was requested in an invalid position.
Info 154  [02:01:07.870] getCompletionData: Get current token: 0.009611129760742188
Info 155  [02:01:07.870] getCompletionData: Is inside comment: 0.006798982620239258
Info 156  [02:01:07.870] getCompletionData: Get previous token 1: 0.04382205009460449
Info 157  [02:01:07.870] getCompletionsAtPosition: isCompletionListBlocker: 0.012419939041137695
Info 158  [02:01:07.870] Returning an empty list because completion was requested in an invalid position.
Info 159  [02:01:08.622] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [02:01:08.627] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 5.0703840255737305ms
Info 161  [02:01:08.627] Different program with same set of files:: structureIsReused:: 2
Info 162  [02:01:09.058] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [02:01:09.062] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 4.088024854660034ms
Info 164  [02:01:09.062] Different program with same set of files:: structureIsReused:: 2
Info 165  [02:01:09.306] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [02:01:09.313] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 7.651931047439575ms
Info 167  [02:01:09.313] Different program with same set of files:: structureIsReused:: 2
Info 168  [02:01:10.469] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [02:01:10.472] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 3.1785330772399902ms
Info 170  [02:01:10.472] Different program with same set of files:: structureIsReused:: 2
Info 171  [02:01:11.409] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [02:01:11.414] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 4.625355005264282ms
Info 173  [02:01:11.414] Different program with same set of files:: structureIsReused:: 2
Info 174  [02:01:11.592] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 175  [02:01:11.598] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 5.452922105789185ms
Info 176  [02:01:11.598] Different program with same set of files:: structureIsReused:: 2
Info 177  [02:01:12.530] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 178  [02:01:12.536] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 5.527670860290527ms
Info 179  [02:01:12.536] Different program with same set of files:: structureIsReused:: 2
Info 180  [02:01:12.848] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 181  [02:01:12.856] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 7.4926979541778564ms
Info 182  [02:01:12.856] Different program with same set of files:: structureIsReused:: 2
Info 183  [02:01:13.074] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 184  [02:01:13.079] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 4.545675992965698ms
Info 185  [02:01:13.079] Different program with same set of files:: structureIsReused:: 2
Info 186  [02:01:13.283] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 187  [02:01:13.288] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 4.768862962722778ms
Info 188  [02:01:13.288] Different program with same set of files:: structureIsReused:: 2
Info 189  [02:01:13.952] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 190  [02:01:13.958] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 5.773016929626465ms
Info 191  [02:01:13.958] Different program with same set of files:: structureIsReused:: 2
Info 192  [02:01:14.984] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 193  [02:01:14.986] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 2.8093020915985107ms
Info 194  [02:01:14.986] Different program with same set of files:: structureIsReused:: 2
Info 195  [02:01:14.987] getCompletionData: Get current token: 0.008838891983032227
Info 196  [02:01:14.987] getCompletionData: Is inside comment: 0.005990028381347656
Info 197  [02:01:14.987] getCompletionData: Get previous token 1: 0.04244709014892578
Info 198  [02:01:14.987] getCompletionsAtPosition: isCompletionListBlocker: 0.008137941360473633
Info 199  [02:01:14.987] Returning an empty list because completion was requested in an invalid position.
Info 200  [02:01:14.989] getCompletionData: Get current token: 0.008296012878417969
Info 201  [02:01:14.989] getCompletionData: Is inside comment: 0.0067288875579833984
Info 202  [02:01:14.989] getCompletionData: Get previous token 1: 0.03600192070007324
Info 203  [02:01:14.989] getCompletionsAtPosition: isCompletionListBlocker: 0.006701946258544922
Info 204  [02:01:14.989] Returning an empty list because completion was requested in an invalid position.
Info 205  [02:01:14.990] getCompletionData: Get current token: 0.008121013641357422
Info 206  [02:01:14.990] getCompletionData: Is inside comment: 0.005879878997802734
Info 207  [02:01:14.990] getCompletionData: Get previous token 1: 0.036047935485839844
Info 208  [02:01:14.990] getCompletionsAtPosition: isCompletionListBlocker: 0.007074832916259766
Info 209  [02:01:14.990] Returning an empty list because completion was requested in an invalid position.
Info 210  [02:01:15.102] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 211  [02:01:15.105] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 2.9018819332122803ms
Info 212  [02:01:15.105] Different program with same set of files:: structureIsReused:: 2
Info 213  [02:01:15.106] getCompletionData: Get current token: 0.008553028106689453
Info 214  [02:01:15.106] getCompletionData: Is inside comment: 0.006402015686035156
Info 215  [02:01:15.106] getCompletionData: Get previous token 1: 0.04023885726928711
Info 216  [02:01:15.106] getCompletionsAtPosition: isCompletionListBlocker: 0.007677793502807617
Info 217  [02:01:15.106] Returning an empty list because completion was requested in an invalid position.
Info 218  [02:01:15.107] getCompletionData: Get current token: 0.008552074432373047
Info 219  [02:01:15.107] getCompletionData: Is inside comment: 0.005521059036254883
Info 220  [02:01:15.108] getCompletionData: Get previous token 1: 0.393596887588501
Info 221  [02:01:15.108] getCompletionsAtPosition: isCompletionListBlocker: 0.009195089340209961
Info 222  [02:01:15.108] Returning an empty list because completion was requested in an invalid position.
Info 223  [02:01:15.109] getCompletionData: Get current token: 0.008682966232299805
Info 224  [02:01:15.109] getCompletionData: Is inside comment: 0.005859851837158203
Info 225  [02:01:15.109] getCompletionData: Get previous token 1: 0.03728199005126953
Info 226  [02:01:15.109] getCompletionsAtPosition: isCompletionListBlocker: 0.007144927978515625
Info 227  [02:01:15.109] Returning an empty list because completion was requested in an invalid position.
Info 228  [02:01:15.433] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 229  [02:01:15.438] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 5.676606178283691ms
Info 230  [02:01:15.439] Different program with same set of files:: structureIsReused:: 2
Info 231  [02:01:15.439] getCompletionData: Get current token: 0.012878179550170898
Info 232  [02:01:15.439] getCompletionData: Is inside comment: 0.006635904312133789
Info 233  [02:01:15.439] getCompletionData: Get previous token 1: 0.046911001205444336
Info 234  [02:01:15.439] getCompletionsAtPosition: isCompletionListBlocker: 0.009796857833862305
Info 235  [02:01:15.439] Returning an empty list because completion was requested in an invalid position.
Info 236  [02:01:15.441] getCompletionData: Get current token: 0.013489961624145508
Info 237  [02:01:15.441] getCompletionData: Is inside comment: 0.008127927780151367
Info 238  [02:01:15.441] getCompletionData: Get previous token 1: 0.06334686279296875
Info 239  [02:01:15.441] getCompletionsAtPosition: isCompletionListBlocker: 0.009112119674682617
Info 240  [02:01:15.441] Returning an empty list because completion was requested in an invalid position.
Info 241  [02:01:15.442] getCompletionData: Get current token: 0.01128697395324707
Info 242  [02:01:15.442] getCompletionData: Is inside comment: 0.006512165069580078
Info 243  [02:01:15.442] getCompletionData: Get previous token 1: 0.0395967960357666
Info 244  [02:01:15.443] getCompletionsAtPosition: isCompletionListBlocker: 0.00859689712524414
Info 245  [02:01:15.443] Returning an empty list because completion was requested in an invalid position.
Info 246  [02:01:15.627] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 247  [02:01:15.632] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 5.343379020690918ms
Info 248  [02:01:15.632] Different program with same set of files:: structureIsReused:: 2
Info 249  [02:01:15.633] getCompletionData: Get current token: 0.012378931045532227
Info 250  [02:01:15.633] getCompletionData: Is inside comment: 0.006726980209350586
Info 251  [02:01:15.633] getCompletionData: Get previous token 1: 0.04858207702636719
Info 252  [02:01:15.633] getCompletionsAtPosition: isCompletionListBlocker: 0.009341955184936523
Info 253  [02:01:15.633] Returning an empty list because completion was requested in an invalid position.
Info 254  [02:01:15.635] getCompletionData: Get current token: 0.013702869415283203
Info 255  [02:01:15.635] getCompletionData: Is inside comment: 0.008373022079467773
Info 256  [02:01:15.635] getCompletionData: Get previous token 1: 0.04926490783691406
Info 257  [02:01:15.635] getCompletionsAtPosition: isCompletionListBlocker: 0.009688854217529297
Info 258  [02:01:15.635] Returning an empty list because completion was requested in an invalid position.
Info 259  [02:01:15.637] getCompletionData: Get current token: 0.010640144348144531
Info 260  [02:01:15.637] getCompletionData: Is inside comment: 0.00600886344909668
Info 261  [02:01:15.637] getCompletionData: Get previous token 1: 0.03854799270629883
Info 262  [02:01:15.637] getCompletionsAtPosition: isCompletionListBlocker: 0.007078886032104492
Info 263  [02:01:15.637] Returning an empty list because completion was requested in an invalid position.
Info 264  [02:01:16.139] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [02:01:16.145] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 5.754357814788818ms
Info 266  [02:01:16.145] Different program with same set of files:: structureIsReused:: 2
Info 267  [02:01:16.145] getCompletionData: Get current token: 0.013206005096435547
Info 268  [02:01:16.145] getCompletionData: Is inside comment: 0.009608030319213867
Info 269  [02:01:16.145] getCompletionData: Get previous token 1: 0.04743599891662598
Info 270  [02:01:16.145] getCompletionsAtPosition: isCompletionListBlocker: 0.03681683540344238
Info 271  [02:01:16.145] Returning an empty list because completion was requested in an invalid position.
Info 272  [02:01:16.147] getCompletionData: Get current token: 0.013230085372924805
Info 273  [02:01:16.147] getCompletionData: Is inside comment: 0.007460117340087891
Info 274  [02:01:16.147] getCompletionData: Get previous token 1: 0.04626607894897461
Info 275  [02:01:16.147] getCompletionsAtPosition: isCompletionListBlocker: 0.010268926620483398
Info 276  [02:01:16.147] Returning an empty list because completion was requested in an invalid position.
Info 277  [02:01:16.149] getCompletionData: Get current token: 0.010895967483520508
Info 278  [02:01:16.149] getCompletionData: Is inside comment: 0.005769968032836914
Info 279  [02:01:16.149] getCompletionData: Get previous token 1: 0.037589073181152344
Info 280  [02:01:16.149] getCompletionsAtPosition: isCompletionListBlocker: 0.007077932357788086
Info 281  [02:01:16.149] Returning an empty list because completion was requested in an invalid position.
Info 282  [02:01:17.094] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 283  [02:01:17.100] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 6.527765989303589ms
Info 284  [02:01:17.100] Different program with same set of files:: structureIsReused:: 2
Info 285  [02:01:17.101] getCompletionData: Get current token: 0.01115107536315918
Info 286  [02:01:17.101] getCompletionData: Is inside comment: 0.006872892379760742
Info 287  [02:01:17.101] getCompletionData: Get previous token 1: 0.047258853912353516
Info 288  [02:01:17.101] getCompletionsAtPosition: isCompletionListBlocker: 0.01034402847290039
Info 289  [02:01:17.101] Returning an empty list because completion was requested in an invalid position.
Info 290  [02:01:17.103] getCompletionData: Get current token: 0.009380102157592773
Info 291  [02:01:17.103] getCompletionData: Is inside comment: 0.00613713264465332
Info 292  [02:01:17.103] getCompletionData: Get previous token 1: 0.037867069244384766
Info 293  [02:01:17.103] getCompletionsAtPosition: isCompletionListBlocker: 0.007429838180541992
Info 294  [02:01:17.103] Returning an empty list because completion was requested in an invalid position.
Info 295  [02:01:17.104] getCompletionData: Get current token: 0.00957798957824707
Info 296  [02:01:17.104] getCompletionData: Is inside comment: 0.0059299468994140625
Info 297  [02:01:17.104] getCompletionData: Get previous token 1: 0.037564992904663086
Info 298  [02:01:17.104] getCompletionsAtPosition: isCompletionListBlocker: 0.0065729618072509766
Info 299  [02:01:17.104] Returning an empty list because completion was requested in an invalid position.
Info 300  [02:01:17.316] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 301  [02:01:17.321] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 4.837308168411255ms
Info 302  [02:01:17.321] Different program with same set of files:: structureIsReused:: 2
Info 303  [02:01:17.321] getCompletionData: Get current token: 0.011116981506347656
Info 304  [02:01:17.322] getCompletionData: Is inside comment: 0.00696110725402832
Info 305  [02:01:17.322] getCompletionData: Get previous token 1: 0.04765582084655762
Info 306  [02:01:17.322] getCompletionsAtPosition: isCompletionListBlocker: 0.010088205337524414
Info 307  [02:01:17.322] Returning an empty list because completion was requested in an invalid position.
Info 308  [02:01:17.323] getCompletionData: Get current token: 0.011667966842651367
Info 309  [02:01:17.323] getCompletionData: Is inside comment: 0.007288932800292969
Info 310  [02:01:17.324] getCompletionData: Get previous token 1: 0.6915879249572754
Info 311  [02:01:17.324] getCompletionsAtPosition: isCompletionListBlocker: 0.010078907012939453
Info 312  [02:01:17.324] Returning an empty list because completion was requested in an invalid position.
Info 313  [02:01:17.325] getCompletionData: Get current token: 0.009596109390258789
Info 314  [02:01:17.325] getCompletionData: Is inside comment: 0.00607609748840332
Info 315  [02:01:17.326] getCompletionData: Get previous token 1: 0.03818392753601074
Info 316  [02:01:17.326] getCompletionsAtPosition: isCompletionListBlocker: 0.008172035217285156
Info 317  [02:01:17.326] Returning an empty list because completion was requested in an invalid position.
Info 318  [02:01:18.094] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
